iter	Passed	Remaining
0	3	366
1	6	332
2	10	325
3	13	327
4	16	318
5	19	310
6	25	339
7	28	331
8	32	326
9	35	320
10	39	316
11	43	315
12	46	308
13	49	303
14	53	303
15	56	298
16	60	292
17	64	295
18	68	290
19	71	286
20	74	280
21	77	274
22	80	270
23	83	265
24	87	261
25	93	267
26	96	261
27	99	256
28	102	251
29	105	246
30	108	241
31	111	236
32	114	233
33	118	229
34	121	225
35	124	221
36	127	217
37	131	214
38	134	211
39	138	207
40	141	203
41	144	200
42	148	196
43	152	193
44	158	194
45	162	190
46	165	186
47	168	182
48	171	178
49	174	174
50	177	170
51	180	166
52	184	163
53	187	159
54	190	156
55	193	152
56	196	148
57	199	144
58	202	140
59	205	137
60	209	133
61	212	130
62	215	126
63	218	122
64	225	121
65	228	117
66	231	114
67	234	110
68	237	106
69	240	103
70	243	99
71	246	95
72	249	92
73	252	88
74	255	85
75	258	81
76	261	77
77	266	75
78	269	71
79	272	68
80	275	64
81	278	61
82	281	57
83	284	54
84	287	50
85	290	47
86	293	43
87	297	40
88	299	37
89	302	33
90	305	30
91	308	26
92	311	23
93	314	20
94	317	16
95	320	13
96	323	10
97	326	6
98	329	3
99	336	0
