horse_number,horse_name,age,jockey_name,trainer_name,jockey_weight,distance,field_size,surface_encoded,track_condition_encoded,race_class_encoded,last_3f,jockey_frequency,horse_weight_kg,weight_change,horse_frequency,jockey_win_rate,corner_rank_3,corner_rank_4,trainer_frequency,corner_rank_2,corner_rank_1,horse_win_rate,trainer_win_rate
1,ワイドラトゥール,4,北村友一,藤原英昭,56.0,1600,18,1,1,5,33.5,180,470,0,15,0.18,4,4,200,5,6,0.15,0.22
2,ロングラン,7,岩田康誠,和田勇,58.0,1600,18,1,1,5,33.8,200,480,0,35,0.16,5,5,150,6,7,0.12,0.15
3,レーベンスティール,5,レーン,田中博,58.0,1600,18,1,1,5,33.4,220,490,2,22,0.25,3,3,180,4,5,0.18,0.20
4,ラヴァンダ,4,岩田望来,中村直,56.0,1600,18,1,1,5,33.9,170,465,-3,12,0.14,6,6,160,7,8,0.13,0.16
5,マジックサンズ,3,武豊,須貝尚,57.0,1600,18,1,1,5,33.3,250,485,4,8,0.21,2,2,220,3,4,0.20,0.24
6,ドックランズ,5,ザーラ,Hユー,58.0,1600,18,1,1,5,33.7,190,492,0,20,0.17,4,4,170,5,6,0.16,0.18
7,トウシンマカオ,6,団野大成,高柳瑞,58.0,1600,18,1,1,5,34.0,160,478,-2,28,0.13,7,7,140,8,9,0.11,0.14
8,チェルヴィニア,4,マーカン,木村哲,56.0,1600,18,1,1,5,33.6,210,468,3,14,0.19,5,5,175,6,7,0.14,0.17
9,ソウルラッシュ,7,Cデムー,池江泰,58.0,1600,18,1,1,5,33.9,230,482,0,32,0.20,6,6,210,7,8,0.13,0.19
10,ジャンタルマンタル,4,川田将雅,高野友,58.0,1600,18,1,1,5,33.2,240,488,2,18,0.23,1,1,200,2,3,0.19,0.21
11,シャンパンカラー,5,坂井瑠星,田中剛,58.0,1600,18,1,1,5,33.8,185,476,-1,21,0.17,5,5,165,6,7,0.15,0.17
12,ガイアフォース,6,横山武史,杉山晴,58.0,1600,18,1,1,5,34.1,195,495,1,26,0.16,8,8,190,9,10,0.12,0.16
13,カンチェンジュンガ,5,藤岡佑介,庄野靖,58.0,1600,18,1,1,5,33.7,175,483,0,19,0.15,4,4,155,5,6,0.14,0.15
14,オフトレイル,4,菅原明良,吉村圭,58.0,1600,18,1,1,5,33.5,190,487,3,16,0.18,3,3,170,4,5,0.17,0.18
15,エルトンバローズ,5,西村淳也,杉山晴,58.0,1600,18,1,1,5,33.9,200,479,-2,23,0.17,6,6,190,7,8,0.14,0.16
16,ウォーターリヒト,5,高杉吏麒,石橋守,58.0,1600,18,1,1,5,34.2,140,472,0,20,0.11,9,9,130,10,11,0.10,0.13
17,ウインマーベル,6,松山弘平,深山雅,58.0,1600,18,1,1,5,34.0,180,486,1,27,0.15,7,7,160,8,9,0.12,0.15
18,アスコリピチェーノ,4,ルメール,黒岩陽,56.0,1600,18,1,1,5,33.4,260,473,2,17,0.26,2,2,185,3,4,0.16,0.19
