race_url,race_id,race_name,finish_position,frame_number,horse_number,horse_name,sex_age,weight,jockey,time,margin,popularity,odds,horse_weight,race_name_expected,race_date_expected,venue_expected
https://www.keibalab.jp/db/race/202402180511/,202402180511,,1,5,9,ペプチドナイル,牡6,58.0,藤岡佑介,11,38.0,1:35.7,,④④,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,2,4,7,ガイアフォース,牡5,58.0,長岡禎仁,5,13.0,1:35.9,１1/4,⑧⑧,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,3,4,8,セキフウ,牡5,58.0,武豊,13,48.2,1:35.9,クビ,⑭⑭,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,4,5,10,タガノビューティー,牡7,58.0,石橋脩,7,17.1,1:35.9,ハナ,⑪⑨,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,5,6,11,キングズソード,牡5,58.0,岩田望来,4,9.4,1:36.0,1/2,⑪⑫,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,6,7,13,レッドルゼル,牡8,58.0,北村友一,6,13.5,1:36.5,３,⑯⑮,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,7,2,3,[地]ミックファイア,牡4,58.0,矢野貴之,9,34.4,1:36.5,ハナ,⑩⑨,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,8,7,14,ウィルソンテソーロ,牡5,58.0,松山弘平,2,3.9,1:36.6,アタマ,②②,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,9,8,15,ドンフランキー,牡5,58.0,池添謙一,10,36.0,1:36.6,アタマ,①①,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,10,8,16,アルファマム,牝5,56.0,キング,12,41.7,1:36.7,3/4,⑮⑮,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,11,1,1,[地]イグナイター,牡6,58.0,西村淳也,8,34.1,1:36.7,クビ,②②,フェブラリーS,2024-02-18,東京
https://www.keibalab.jp/db/race/202402180511/,202402180511,,12,2,4,ドゥラエレーデ,牡4,58.0,ムルザバ,3,5.5,1:36.8,クビ,④④,フェブラリーS,2024-02-18,東京
