name,date,venue,venue_code
フェブラリーS,2023-02-19,東京,05
高松宮記念,2023-03-26,中京,07
大阪杯,2023-04-02,阪神,09
桜花賞,2023-04-09,阪神,09
皐月賞,2023-04-16,中山,06
天皇賞(春),2023-04-30,京都,08
NHKマイルC,2023-05-07,東京,05
ヴィクトリアM,2023-05-14,東京,05
オークス,2023-05-21,東京,05
日本ダービー,2023-05-28,東京,05
安田記念,2023-06-04,東京,05
宝塚記念,2023-06-25,阪神,09
スプリンターズS,2023-10-01,中山,06
秋華賞,2023-10-15,京都,08
菊花賞,2023-10-22,京都,08
天皇賞(秋),2023-10-29,東京,05
エリザベス女王杯,2023-11-12,京都,08
マイルCS,2023-11-19,京都,08
ジャパンC,2023-11-26,東京,05
チャンピオンズC,2023-12-03,中山,06
有馬記念,2023-12-24,中山,06
