feature,importance
last_3f,34477.62400889397
popularity,12248.953734517097
odds_numeric,9680.26829829812
field_size,4064.475199341774
race_number,1827.297653079033
race_avg_odds,1504.729373037815
race_avg_weight,1317.645498842001
horse_weight_kg,1239.9508202821016
trainer_frequency,1215.687851935625
jockey_frequency,1202.06657551229
month,1040.8246380090714
year,950.8015788793564
jockey_encoded,705.3017296791077
age,675.3034021854401
race_type_encoded,484.46531725034583
weight,444.2013819217682
venue_code,439.642165876925
sex_encoded,368.44386982917786
trainer_encoded,331.5337890982628
day_of_week,191.33185942471027
horse_weight_change,0.0
