feature,importance
last_3f,23430.84717088812
age,7997.962582918381
jockey_frequency,7963.906064796403
field_size,6575.6872138287
horse_weight_kg,5280.644080263839
trainer_frequency,5196.611306744507
race_avg_odds,4370.061601250753
year,4358.423860655308
race_avg_weight,3984.5246480107307
jockey_encoded,3631.6575408470344
weight,2291.886781692505
race_number,2120.6126046034333
month,1977.7633137106895
sex_encoded,1723.2505219234154
venue_code,1723.220995765082
trainer_encoded,1512.4311661246466
race_type_encoded,1057.3680236983055
day_of_week,464.77050948143005
horse_weight_change,0.0
