race_id,race_name,race_date,venue_code,race_number,horse_number,horse_name,sex_encoded,age,weight,popularity,odds_numeric,last_3f,horse_weight_kg,horse_weight_change,trainer_encoded,trainer_frequency,jockey_encoded,jockey_frequency,year,month,day_of_week,field_size,race_avg_odds,race_avg_weight,race_type_encoded
20251123_tokyo_01,東京1R,2025-11-23,5,1,1,馬1,0,4,57.0,1,5.0,35.0,480,0,1,50,1,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,2,馬2,0,4,57.0,2,10.0,35.0,480,0,2,50,2,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,3,馬3,0,4,57.0,3,15.0,35.0,480,0,3,50,3,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,4,馬4,0,4,57.0,4,20.0,35.0,480,0,4,50,4,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,5,馬5,0,4,57.0,5,25.0,35.0,480,0,5,50,5,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,6,馬6,0,4,57.0,6,30.0,35.0,480,0,6,50,6,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,7,馬7,0,4,57.0,7,35.0,35.0,480,0,7,50,7,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,8,馬8,0,4,57.0,8,40.0,35.0,480,0,8,50,8,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,9,馬9,0,4,57.0,9,45.0,35.0,480,0,9,50,9,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_01,東京1R,2025-11-23,5,1,10,馬10,0,4,57.0,10,50.0,35.0,480,0,10,50,10,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,1,馬1,0,4,57.0,1,5.0,35.0,480,0,1,50,1,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,2,馬2,0,4,57.0,2,10.0,35.0,480,0,2,50,2,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,3,馬3,0,4,57.0,3,15.0,35.0,480,0,3,50,3,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,4,馬4,0,4,57.0,4,20.0,35.0,480,0,4,50,4,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,5,馬5,0,4,57.0,5,25.0,35.0,480,0,5,50,5,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,6,馬6,0,4,57.0,6,30.0,35.0,480,0,6,50,6,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,7,馬7,0,4,57.0,7,35.0,35.0,480,0,7,50,7,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,8,馬8,0,4,57.0,8,40.0,35.0,480,0,8,50,8,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,9,馬9,0,4,57.0,9,45.0,35.0,480,0,9,50,9,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_02,東京2R,2025-11-23,5,2,10,馬10,0,4,57.0,10,50.0,35.0,480,0,10,50,10,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,1,馬1,0,4,57.0,1,5.0,35.0,480,0,1,50,1,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,2,馬2,0,4,57.0,2,10.0,35.0,480,0,2,50,2,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,3,馬3,0,4,57.0,3,15.0,35.0,480,0,3,50,3,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,4,馬4,0,4,57.0,4,20.0,35.0,480,0,4,50,4,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,5,馬5,0,4,57.0,5,25.0,35.0,480,0,5,50,5,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,6,馬6,0,4,57.0,6,30.0,35.0,480,0,6,50,6,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,7,馬7,0,4,57.0,7,35.0,35.0,480,0,7,50,7,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,8,馬8,0,4,57.0,8,40.0,35.0,480,0,8,50,8,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,9,馬9,0,4,57.0,9,45.0,35.0,480,0,9,50,9,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_03,東京3R,2025-11-23,5,3,10,馬10,0,4,57.0,10,50.0,35.0,480,0,10,50,10,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_04,東京4R,2025-11-23,5,4,1,馬1,0,4,57.0,1,5.0,35.0,480,0,1,50,1,100,2025,11,5,10,25.0,56.0,0
20251123_tokyo_04,東京4R,2025-11-23,5,4,2,馬2,0,4,57.0,2,10.0,35.0,480,0,2,50,2,100,2025,11,5,10,25.0,56.0,0
